column_name,brand_id,brand_name,question_code,attribute_name
Q1.Total Spontaneous_C2,1,C2,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Không xác định,2,C2 - Không xác định,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Vị chanh,3,C2 - Vị chanh,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Vị táo,4,C2 - Vị táo,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Vị đào,34,C2 - Vị đào,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Olong Hoa hồng,5,C2 - Olong Hoa hồng,Q1.Spontaneous,
Q1.Total Spontaneous_C2 - Olong Chanh,6,C2 - Olong Chanh,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Hồng Trà,29,C2 – Hồng Trà,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Hồng Trà Đào,30,C2 – Hồng Trà Đào,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Hồng Trà Vải,33,C2 – Hồng Trà Vải,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Freeze Hương chanh tuyết bạc hà,35,C2 – Freeze Hương chanh tuyết bạc hà,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Freeze Hương dâu anh đào,37,C2 – Freeze Hương dâu anh đào,Q1.Spontaneous,
Q1.Total Spontaneous_C2 – Dưa lưới,38,C2 – Dưa lưới,Q1.Spontaneous,
Q1.Total Spontaneous_OLong Tea Plus,8,OLong Tea Plus,Q1.Spontaneous,
Q1.Total Spontaneous_OLong Tea Plus.1,8,OLong Tea Plus,Q1.Spontaneous,.1
Q1.Total Spontaneous_OLong Tea Plus vị chanh,9,OLong Tea Plus vị chanh,Q1.Spontaneous,
Q1.Total Spontaneous_Trà xanh matcha Tea Plus,10,Trà xanh matcha Tea Plus,Q1.Spontaneous,
Q1.Total Spontaneous_Không Độ,11,Không Độ,Q1.Spontaneous,
Q1.Total Spontaneous_Không Độ - Không xác định,12,Không Độ - Không xác định,Q1.Spontaneous,
Q1.Total Spontaneous_Không Độ - Vị chanh,13,Không Độ - Vị chanh,Q1.Spontaneous,
Q1.Total Spontaneous_Không Độ - Bí đao,14,Không Độ - Bí đao,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Cozy Olong Xoài,16,Trà Cozy Olong Xoài,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Cozy Vải,17,Trà Cozy Vải,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Cozy Đào Sả,18,Trà Cozy Đào Sả,Q1.Spontaneous,
Q1.Total Spontaneous_Dr. Thanh,19,Dr. Thanh,Q1.Spontaneous,
Q1.Total Spontaneous_Dr. Thanh - Không xác định,20,Dr. Thanh - Không xác định,Q1.Spontaneous,
Q1.Total Spontaneous_Dr. Thanh - Có đường,21,Dr. Thanh - Có đường,Q1.Spontaneous,
Q1.Total Spontaneous_Dr. Thanh - Không đường,22,Dr. Thanh - Không đường,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Tea Go,23,Trà Tea Go,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Tea Go – Vị Đào,24,Trà Tea Go – Vị Đào,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Tea Go – Vị Chanh,25,Trà Tea Go – Vị Chanh,Q1.Spontaneous,
Q1.Total Spontaneous_Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q1.Spontaneous,
Q1.Total Spontaneous_Trà sữa ít đường Vinamilk Happy Milktea.1,261,Trà sữa ít đường Vinamilk Happy Milktea,Q1.Spontaneous,.1
Q1.Total Spontaneous_Trà lá vối Seventy,271,Trà lá vối Seventy,Q1.Spontaneous,
Q1.Total Spontaneous_Trà lá vối Seventy.1,271,Trà lá vối Seventy,Q1.Spontaneous,.1
Q1.Total Spontaneous_Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q1.Spontaneous,
Q1.Total Spontaneous_Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q1.Spontaneous,
Q1.Total Spontaneous_Trà sữa không độ/ Trà sữa Macchiato.1,3001,Trà sữa không độ/ Trà sữa Macchiato,Q1.Spontaneous,.1
Q1.Total Spontaneous_Trà TH True Tea,5000,Trà TH True Tea,Q1.Spontaneous,
Q1.Total Spontaneous_TH True Tea – Trà Oolong Tự Nhiên,5001,TH True Tea – Trà Oolong Tự Nhiên,Q1.Spontaneous,
Q1.Total Spontaneous_TH True Tea – Trà xanh vị chanh Tự Nhiên,5002,TH True Tea – Trà xanh vị chanh Tự Nhiên,Q1.Spontaneous,
Q1.Total Spontaneous_Trà mật ong Boncha,6001,Trà mật ong Boncha,Q1.Spontaneous,
Q1.Total Spontaneous_Trà mật ong Boncha.1,6001,Trà mật ong Boncha,Q1.Spontaneous,.1
Q1.Total Spontaneous_Trà mật ong Boncha vị chanh,6002,Trà mật ong Boncha vị chanh,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Jokky,7000,Trà Jokky,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Jokky chanh sả,7001,Trà Jokky chanh sả,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Jokky vị Đào,7002,Trà Jokky vị Đào,Q1.Spontaneous,
Q1.Total Spontaneous_Trà Jokky sâm,7003,Trà Jokky sâm,Q1.Spontaneous,
Q1.Total Spontaneous_Trà sữa C2,8000,Trà sữa C2,Q1.Spontaneous,
Q1.Total Spontaneous_Búp non 365,9000,Búp non 365,Q1.Spontaneous,
Q1.Total Spontaneous_Búp non 365 hương đào,9001,Búp non 365 hương đào,Q1.Spontaneous,
Q1.Total Spontaneous_Búp non 365 chanh sả,9002,Búp non 365 chanh sả,Q1.Spontaneous,
Q1.Total Spontaneous_Búp non 365 mật ong,9003,Búp non 365 mật ong,Q1.Spontaneous,
Q1.Total Spontaneous_Búp non 365 mãng cầu,9004,Búp non 365 mãng cầu,Q1.Spontaneous,
Q1Q2. Total aided awareness_C2,1,C2,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Không xác định,2,C2 - Không xác định,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Vị chanh,3,C2 - Vị chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Vị táo,4,C2 - Vị táo,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Vị đào,34,C2 - Vị đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Olong Hoa hồng,5,C2 - Olong Hoa hồng,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 - Olong Chanh,6,C2 - Olong Chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Hồng Trà,29,C2 – Hồng Trà,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Hồng Trà Đào,30,C2 – Hồng Trà Đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Hồng Trà Vải,33,C2 – Hồng Trà Vải,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Freeze Hương chanh tuyết bạc hà,35,C2 – Freeze Hương chanh tuyết bạc hà,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Freeze Hương dâu anh đào,37,C2 – Freeze Hương dâu anh đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_C2 – Dưa lưới,38,C2 – Dưa lưới,Q1Q2.Aided,
Q1Q2. Total aided awareness_OLong Tea Plus,8,OLong Tea Plus,Q1Q2.Aided,
