brand_id,brand_name,is_master_brand,master_brand
1,C2,True,C2
2,C2 - Không xác định,False,C2
3,C2 - Vị chanh,False,C2
4,C2 - Vị táo,False,C2
34,C2 - Vị đào,False,C2
5,C2 - Olong Hoa hồng,False,C2
6,C2 - Olong Chanh,False,C2
29,C2 – Hồng Trà,False,C2
30,C2 – Hồng Trà Đào,False,C2
33,C2 – Hồng Trà Vải,False,C2
35,C2 – Freeze Hương chanh tuyết bạc hà,False,C2
37,C2 – Freeze Hương dâu anh đào,False,C2
38,C2 – Dưa lưới,False,C2
7,OLong Tea Plus,True,OLong Tea Plus
8,OLong Tea Plus,True,OLong Tea Plus
9,OLong Tea Plus vị chanh,True,OLong Tea Plus vị chanh
10,Trà xanh matcha Tea Plus,True,Trà xanh matcha Tea Plus
11,Không Độ,True,Không Độ
12,Không Độ - Không xác định,False,Không Độ
13,Không Độ - Vị chanh,False,Không Độ
14,Không Độ - Bí đao,False,Không Độ
15,Trà Cozy đóng chai,True,Trà Cozy đóng chai
16,Trà Cozy Olong Xoài,True,Trà Cozy Olong Xoài
17,Trà Cozy Vải,True,Trà Cozy Vải
18,Trà Cozy Đào Sả,True,Trà Cozy Đào Sả
19,Dr. Thanh,True,Dr. Thanh
20,Dr. Thanh - Không xác định,False,Dr. Thanh
21,Dr. Thanh - Có đường,False,Dr. Thanh
22,Dr. Thanh - Không đường,False,Dr. Thanh
23,Trà Tea Go,True,Trà Tea Go
24,Trà Tea Go – Vị Đào,False,Trà Tea Go
25,Trà Tea Go – Vị Chanh,False,Trà Tea Go
26,Trà sữa ít đường Vinamilk Happy Milktea,True,Trà sữa ít đường Vinamilk Happy Milktea
261,Trà sữa ít đường Vinamilk Happy Milktea,True,Trà sữa ít đường Vinamilk Happy Milktea
27,Trà lá vối Seventy,True,Trà lá vối Seventy
271,Trà lá vối Seventy,True,Trà lá vối Seventy
2000,Trà thảo mộc VietFuji,True,Trà thảo mộc VietFuji
3000,Trà sữa không độ/ Trà sữa Macchiato,True,Trà sữa không độ/ Trà sữa Macchiato
3001,Trà sữa không độ/ Trà sữa Macchiato,True,Trà sữa không độ/ Trà sữa Macchiato
5000,Trà TH True Tea,True,Trà TH True Tea
5001,TH True Tea – Trà Oolong Tự Nhiên,False,TH True Tea
5002,TH True Tea – Trà xanh vị chanh Tự Nhiên,False,TH True Tea
6000,Trà mật ong Boncha,True,Trà mật ong Boncha
6001,Trà mật ong Boncha,True,Trà mật ong Boncha
6002,Trà mật ong Boncha vị chanh,True,Trà mật ong Boncha vị chanh
7000,Trà Jokky,True,Trà Jokky
7001,Trà Jokky chanh sả,True,Trà Jokky chanh sả
7002,Trà Jokky vị Đào,True,Trà Jokky vị Đào
7003,Trà Jokky sâm,True,Trà Jokky sâm
8000,Trà sữa C2,True,Trà sữa C2
9000,Búp non 365,True,Búp non 365
9001,Búp non 365 hương đào,True,Búp non 365 hương đào
9002,Búp non 365 chanh sả,True,Búp non 365 chanh sả
9003,Búp non 365 mật ong,True,Búp non 365 mật ong
9004,Búp non 365 mãng cầu,True,Búp non 365 mãng cầu
